epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,528.116,0.45786,0.14464,0.1167,0.47232,0.94151,0.98418,0.98918,0.99338,0.92021,0.9878,0.99281,0.99396,0.9909,0.37538,0.08921,0.01119,0.30829,0.86388,0.00092825,0.00092825,0.00092825
28,547.098,0.4586,0.13715,0.10095,0.46734,0.94047,0.9812,1,0.99478,0.93032,0.9812,1,0.99478,0.99274,0.37502,0.07818,0.03086,0.30202,0.85189,0.000915875,0.000915875,0.000915875
29,566.063,0.45759,0.1267,0.10594,0.46327,0.93189,0.98969,0.9989,0.99493,0.93607,0.98969,0.9989,0.99493,0.99226,0.34894,0.07213,0.0257,0.27255,0.84477,0.0009035,0.0009035,0.0009035
30,585.087,0.43767,0.12534,0.10691,0.44133,0.92934,0.98304,0.97593,0.99385,0.91854,0.98304,0.97593,0.99437,0.9915,0.40249,0.07523,0.06303,0.34644,0.86903,0.000891125,0.000891125,0.000891125
31,604.085,0.44354,0.12055,0.10786,0.44827,0.9301,0.98854,0.96071,0.98928,0.92669,0.98854,0.96071,0.99021,0.98915,0.35713,0.06684,0.05862,0.32909,0.8523,0.00087875,0.00087875,0.00087875
32,623.082,0.42553,0.13205,0.11107,0.4384,0.9271,0.95975,0.97591,0.98964,0.92476,0.95975,0.97591,0.98964,0.98786,0.35349,0.07606,0.03161,0.31734,0.84937,0.000866375,0.000866375,0.000866375
33,642.073,0.42219,0.12461,0.10618,0.42518,0.92833,0.98086,0.97935,0.99392,0.92873,0.98086,0.97935,0.99392,0.9934,0.36145,0.07848,0.03432,0.30217,0.85071,0.000854,0.000854,0.000854
34,661.081,0.42274,0.11325,0.0929,0.42351,0.92182,0.97723,0.99478,0.99463,0.93602,0.97723,0.99478,0.99463,0.99402,0.34408,0.05819,0.03013,0.27607,0.84262,0.000841625,0.000841625,0.000841625
35,680.085,0.41785,0.12103,0.0951,0.41624,0.92196,0.98388,0.9772,0.99237,0.92505,0.98388,0.9772,0.99237,0.99169,0.36655,0.06555,0.02886,0.28785,0.85168,0.00082925,0.00082925,0.00082925
36,699.073,0.42063,0.11912,0.10033,0.41676,0.92263,0.98999,0.98555,0.9948,0.93425,0.98999,0.98555,0.9948,0.99374,0.3353,0.05712,0.04691,0.25345,0.8429,0.000816875,0.000816875,0.000816875
37,718.057,0.42551,0.1158,0.095,0.42175,0.92746,0.94378,0.93833,0.9877,0.92792,0.94378,0.93833,0.9877,0.98658,0.32586,0.07815,0.02574,0.35125,0.84071,0.0008045,0.0008045,0.0008045
38,737.033,0.39498,0.10928,0.08863,0.3985,0.91271,0.9764,0.98821,0.99472,0.93569,0.9764,0.98821,0.99472,0.99398,0.34907,0.06903,0.02535,0.28075,0.84739,0.000792125,0.000792125,0.000792125
39,756.011,0.40357,0.12152,0.10075,0.41531,0.92262,0.97737,0.98132,0.99311,0.93153,0.97737,0.98132,0.99311,0.99144,0.33622,0.06273,0.02512,0.27169,0.84652,0.00077975,0.00077975,0.00077975
40,775.024,0.41182,0.11621,0.10248,0.40573,0.92015,0.987,0.9821,0.99321,0.93631,0.987,0.9821,0.99321,0.99197,0.3432,0.059,0.03003,0.26903,0.84537,0.000767375,0.000767375,0.000767375
41,794.029,0.39442,0.1047,0.08938,0.39128,0.91436,0.99063,0.98759,0.99447,0.93446,0.99063,0.98759,0.99447,0.99155,0.34201,0.06381,0.0156,0.24093,0.84913,0.000755,0.000755,0.000755
42,813.006,0.40955,0.10632,0.08291,0.39646,0.9206,0.98864,0.99281,0.99444,0.93439,0.98864,0.99281,0.99444,0.99318,0.35528,0.06545,0.03187,0.24907,0.85336,0.000742625,0.000742625,0.000742625
43,831.986,0.40145,0.10829,0.09145,0.38272,0.91342,0.99004,0.99019,0.99342,0.9426,0.99004,0.99019,0.99342,0.99235,0.33429,0.06117,0.02745,0.24916,0.84597,0.00073025,0.00073025,0.00073025
44,850.997,0.38474,0.10938,0.08841,0.38083,0.90805,0.98748,0.9925,0.99481,0.93502,0.98748,0.9925,0.99481,0.99405,0.33374,0.05996,0.04794,0.25547,0.84302,0.000717875,0.000717875,0.000717875
45,870.016,0.4086,0.1071,0.09277,0.38961,0.91882,0.98408,0.98998,0.99497,0.9309,0.98408,0.98998,0.99497,0.99364,0.35062,0.05703,0.03858,0.27104,0.84887,0.0007055,0.0007055,0.0007055
46,889.023,0.38421,0.10254,0.08677,0.37284,0.91049,0.98234,0.98493,0.99474,0.93607,0.98234,0.98493,0.99474,0.99424,0.33409,0.06004,0.02279,0.24465,0.84898,0.000693125,0.000693125,0.000693125
47,908.019,0.38456,0.10296,0.09439,0.38135,0.90534,0.99629,0.99908,0.995,0.93637,0.99629,0.99908,0.995,0.9945,0.34554,0.04765,0.01861,0.23248,0.84233,0.00068075,0.00068075,0.00068075
48,927.002,0.3936,0.10302,0.08966,0.37684,0.91553,0.99799,1,0.995,0.94462,0.99799,1,0.995,0.99472,0.31675,0.0529,0.0214,0.21387,0.83587,0.000668375,0.000668375,0.000668375
49,946.057,0.38356,0.10243,0.08952,0.37394,0.90872,0.98414,0.99422,0.99497,0.93657,0.98414,0.99422,0.99497,0.99445,0.32545,0.04824,0.01892,0.22778,0.8433,0.000656,0.000656,0.000656
50,965.028,0.37866,0.10133,0.08224,0.36622,0.90648,0.99167,0.99824,0.99494,0.93835,0.99167,0.99824,0.99494,0.99393,0.32323,0.06467,0.02998,0.21431,0.8425,0.000643625,0.000643625,0.000643625
51,984.001,0.36635,0.09637,0.08435,0.35414,0.90518,0.99243,0.99643,0.99455,0.94058,0.99243,0.99643,0.99455,0.99292,0.32787,0.04997,0.02634,0.22847,0.8418,0.00063125,0.00063125,0.00063125
52,1002.98,0.39007,0.10237,0.09032,0.37077,0.91036,0.98194,0.99702,0.99484,0.94698,0.98194,0.99702,0.99484,0.99432,0.32168,0.04848,0.02328,0.22866,0.8362,0.000618875,0.000618875,0.000618875
53,1022.01,0.36625,0.09417,0.0787,0.35592,0.90316,0.99256,0.99576,0.99486,0.94538,0.99256,0.99576,0.99486,0.99434,0.30958,0.04856,0.01937,0.22153,0.83158,0.0006065,0.0006065,0.0006065
54,1040.99,0.36607,0.09263,0.0788,0.36106,0.9012,0.99725,0.99611,0.99496,0.94618,0.99725,0.99611,0.99496,0.99388,0.31472,0.05117,0.04299,0.21371,0.83298,0.000594125,0.000594125,0.000594125
55,1060,0.37853,0.09685,0.08021,0.36187,0.90207,0.99238,1,0.995,0.94374,0.99238,1,0.995,0.99343,0.32332,0.05558,0.00921,0.2171,0.83599,0.00058175,0.00058175,0.00058175
56,1078.99,0.36743,0.09858,0.08388,0.3541,0.90388,0.99391,0.99563,0.99496,0.94712,0.99391,0.99563,0.99496,0.99446,0.30518,0.04442,0.02375,0.21446,0.83251,0.000569375,0.000569375,0.000569375
57,1098.02,0.35941,0.09452,0.07258,0.3501,0.89637,0.99549,1,0.995,0.94948,0.99549,1,0.995,0.99422,0.30943,0.05014,0.00864,0.2107,0.83234,0.000557,0.000557,0.000557
58,1117.03,0.36401,0.09943,0.0818,0.35077,0.90008,0.98272,0.99449,0.9947,0.94716,0.98272,0.99449,0.9947,0.99414,0.30572,0.04381,0.0112,0.21876,0.83162,0.000544625,0.000544625,0.000544625
59,1136,0.36438,0.08821,0.07537,0.34393,0.90323,0.98382,0.99144,0.99431,0.94674,0.98382,0.99144,0.99431,0.99379,0.30639,0.04958,0.02682,0.21682,0.83184,0.00053225,0.00053225,0.00053225
60,1154.97,0.35331,0.09332,0.07618,0.33971,0.89867,0.9907,0.99638,0.9949,0.94721,0.9907,0.99638,0.9949,0.99438,0.30418,0.05054,0.00972,0.20741,0.83363,0.000519875,0.000519875,0.000519875
61,1173.96,0.34888,0.08932,0.07107,0.33412,0.90064,0.98251,0.99602,0.99087,0.93878,0.98251,0.99602,0.99087,0.99034,0.3135,0.04235,0.01648,0.22557,0.83131,0.0005075,0.0005075,0.0005075
62,1193.02,0.36482,0.09773,0.07468,0.33223,0.89504,0.99173,0.99995,0.99497,0.94267,0.99173,0.99995,0.99497,0.99421,0.32348,0.04577,0.02291,0.21174,0.83506,0.000495125,0.000495125,0.000495125
63,1212.1,0.36158,0.09577,0.07356,0.33487,0.89353,0.99367,0.99908,0.99497,0.94847,0.99367,0.99908,0.99497,0.99446,0.29533,0.04398,0.03416,0.19558,0.83285,0.00048275,0.00048275,0.00048275
64,1231.07,0.33977,0.0786,0.06521,0.32003,0.89197,0.9938,0.99638,0.99496,0.95074,0.9938,0.99638,0.99496,0.99418,0.29857,0.05297,0.01982,0.19426,0.83073,0.000470375,0.000470375,0.000470375
65,1250.09,0.34071,0.08653,0.07479,0.32884,0.89191,0.9862,0.99551,0.99424,0.94598,0.9862,0.99551,0.99424,0.99291,0.31302,0.05137,0.01055,0.20939,0.83397,0.000458,0.000458,0.000458
66,1269.09,0.34606,0.07552,0.07,0.3246,0.89245,0.99293,1,0.99496,0.94836,0.99293,1,0.99496,0.99344,0.30072,0.04814,0.02668,0.2031,0.83414,0.000445625,0.000445625,0.000445625
67,1288.1,0.34867,0.08907,0.07558,0.33329,0.89582,0.98831,0.99778,0.99497,0.94631,0.98831,0.99778,0.99497,0.99422,0.30864,0.04301,0.00729,0.20496,0.8331,0.00043325,0.00043325,0.00043325
68,1307.18,0.33898,0.08639,0.07004,0.32467,0.89456,0.98597,0.99438,0.99494,0.95157,0.98597,0.99438,0.99494,0.99389,0.29798,0.04632,0.01449,0.20325,0.82926,0.000420875,0.000420875,0.000420875
69,1326.27,0.34785,0.08244,0.07099,0.3257,0.89352,0.99506,0.98037,0.99474,0.94954,0.99506,0.98037,0.99474,0.99397,0.30663,0.04458,0.0184,0.21007,0.83107,0.0004085,0.0004085,0.0004085
70,1345.24,0.33834,0.08774,0.07166,0.32644,0.89194,0.96203,0.98648,0.99351,0.94575,0.96203,0.98648,0.99351,0.99239,0.29154,0.04206,0.02771,0.24252,0.83488,0.000396125,0.000396125,0.000396125
71,1364.21,0.32823,0.08358,0.06636,0.31135,0.89246,0.99261,0.99643,0.99457,0.94579,0.99261,0.99643,0.99457,0.9933,0.30027,0.0464,0.02932,0.2067,0.83765,0.00038375,0.00038375,0.00038375
72,1383.19,0.32646,0.07192,0.06457,0.32336,0.89137,0.99163,0.98744,0.99494,0.9476,0.99163,0.98744,0.99494,0.99417,0.28702,0.04195,0.03138,0.20244,0.8348,0.000371375,0.000371375,0.000371375
