epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,120.04,0.88161,0.75148,0.48228,1.30762,1.08929,0.47445,0.48182,0.30588,0.20643,0.0931,0.47879,0.103,0.02499,1.10394,3.95591,0.07564,6.95388,1.41277,0.00092825,0.00092825,0.00092825
28,124.364,0.89014,0.74589,0.4677,1.22775,1.048,0.21678,0.59545,0.27688,0.19299,0.13133,0.50152,0.1652,0.04521,1.10536,3.43383,0.06851,6.55637,1.34961,0.000915875,0.000915875,0.000915875
29,128.656,0.78899,0.66006,0.46161,1.1881,1.01863,0.48622,0.55,0.29064,0.19923,0.48137,0.525,0.25943,0.08873,1.01884,2.63622,0.07291,8.85632,1.33683,0.0009035,0.0009035,0.0009035
30,132.976,0.8525,0.58433,0.48022,1.20272,1.08234,0.52518,0.575,0.34531,0.24914,0.54325,0.375,0.32962,0.15202,0.95104,2.05078,0.07694,10.1353,1.31099,0.000891125,0.000891125,0.000891125
31,137.292,0.87764,0.55572,0.45179,1.15478,1.0572,0.24296,0.60833,0.39157,0.28892,0.23418,0.59167,0.38019,0.16661,0.89574,1.95199,0.08372,7.4613,1.15715,0.00087875,0.00087875,0.00087875
32,141.607,0.81027,0.52317,0.4647,1.12337,1.02628,0.48182,0.60992,0.36981,0.27339,0.26378,0.67273,0.38141,0.19023,0.96716,1.65953,0.08002,4.51263,1.16697,0.000866375,0.000866375,0.000866375
33,145.935,0.80199,0.46359,0.4459,1.05079,1.01252,0.4097,0.67309,0.48571,0.37107,0.39939,0.65653,0.47732,0.17207,0.87213,1.96314,0.05441,3.08611,1.13826,0.000854,0.000854,0.000854
34,150.253,0.81324,0.45272,0.43426,1.06374,1.02763,0.39002,0.77094,0.59938,0.4561,0.4051,0.777,0.60861,0.26316,0.87394,1.76048,0.05403,2.85611,1.10325,0.000841625,0.000841625,0.000841625
35,154.591,0.81037,0.45768,0.426,0.98601,1.03578,0.33266,0.67197,0.54522,0.38078,0.3725,0.67514,0.5953,0.35147,0.91256,1.18122,0.06482,3.39357,1.13271,0.00082925,0.00082925,0.00082925
36,158.899,0.81083,0.43429,0.44622,0.98041,1.05364,0.49043,0.69697,0.67489,0.46463,0.53246,0.7197,0.70955,0.47541,0.86805,0.98523,0.06015,2.76492,1.0924,0.000816875,0.000816875,0.000816875
37,163.211,0.78026,0.42815,0.41167,0.88621,1.00808,0.55216,0.71212,0.68329,0.51099,0.4709,0.8197,0.70257,0.41356,0.84324,1.28045,0.0557,2.40991,1.07298,0.0008045,0.0008045,0.0008045
38,167.488,0.76448,0.39007,0.41754,0.89084,1.01711,0.54538,0.76591,0.72147,0.50797,0.59344,0.80878,0.7827,0.41285,0.82342,1.29752,0.0443,2.20805,1.03525,0.000792125,0.000792125,0.000792125
39,171.766,0.78077,0.33518,0.4116,0.87022,1.00883,0.50295,0.83409,0.72223,0.51656,0.5446,0.87955,0.78888,0.46625,0.90764,1.15649,0.04671,1.95046,1.12936,0.00077975,0.00077975,0.00077975
40,176.076,0.77029,0.28389,0.40042,0.8986,1.01241,0.5438,0.71991,0.6242,0.4511,0.57547,0.75819,0.66909,0.46083,0.97683,0.86164,0.05206,1.8525,1.18021,0.000767375,0.000767375,0.000767375
41,180.371,0.7378,0.2938,0.39647,0.86703,0.99015,0.52103,0.77499,0.66154,0.49011,0.55324,0.82171,0.69868,0.51737,0.87358,0.78126,0.04786,1.56777,1.08871,0.000755,0.000755,0.000755
42,184.672,0.78105,0.28403,0.4417,0.88664,1.02626,0.5873,0.87479,0.73696,0.57795,0.60931,0.88271,0.76044,0.54246,0.7918,0.82777,0.05647,1.40003,1.02454,0.000742625,0.000742625,0.000742625
43,188.96,0.71138,0.26654,0.3842,0.79259,0.96849,0.60664,0.73864,0.7198,0.56534,0.63643,0.76136,0.74964,0.52485,0.81124,0.90043,0.05013,1.39896,1.01885,0.00073025,0.00073025,0.00073025
44,193.242,0.72252,0.25336,0.37397,0.75976,0.97585,0.26603,0.7259,0.47371,0.3403,0.30237,0.80909,0.51654,0.33584,0.9603,1.05102,0.04841,2.27885,1.11997,0.000717875,0.000717875,0.000717875
45,197.51,0.75859,0.22124,0.42769,0.88958,0.98507,0.70493,0.73114,0.73199,0.52117,0.58667,0.88266,0.76399,0.61732,1.01651,0.63373,0.05167,1.24211,1.18157,0.0007055,0.0007055,0.0007055
46,201.816,0.71464,0.2382,0.39665,0.75775,0.96765,0.75747,0.88566,0.89929,0.70151,0.77701,0.9065,0.93822,0.80458,0.81408,0.48112,0.05483,0.92805,1.01482,0.000693125,0.000693125,0.000693125
47,206.113,0.72368,0.22532,0.38445,0.78513,0.97754,0.85227,0.86957,0.95413,0.71805,0.85227,0.86957,0.95413,0.77975,0.87809,0.53528,0.06147,1.01265,1.05714,0.00068075,0.00068075,0.00068075
48,210.387,0.74396,0.23633,0.4248,0.81032,0.99248,0.41692,0.80061,0.67659,0.50668,0.54377,0.64869,0.69565,0.47597,0.81825,1.01433,0.05994,1.91857,1.0238,0.000668375,0.000668375,0.000668375
49,214.671,0.72264,0.23716,0.41167,0.74441,0.9965,0.57421,0.60379,0.68256,0.50684,0.49947,0.62285,0.63436,0.43823,0.79721,1.12484,0.06038,1.71987,1.0376,0.000656,0.000656,0.000656
50,218.947,0.71684,0.21635,0.39325,0.74909,0.98552,0.57215,0.83083,0.81148,0.60327,0.58845,0.80322,0.80639,0.67683,0.84985,0.5574,0.05154,1.31208,1.0476,0.000643625,0.000643625,0.000643625
51,223.222,0.7052,0.19258,0.38478,0.69176,0.97327,0.68209,0.80731,0.89731,0.67469,0.68209,0.80731,0.89731,0.76605,0.81494,0.48379,0.03945,1.23559,1.00897,0.00063125,0.00063125,0.00063125
52,227.499,0.67897,0.19952,0.37188,0.72809,0.97114,0.62175,0.84271,0.82762,0.63599,0.62175,0.84271,0.82796,0.70209,0.81146,0.47584,0.04864,1.44974,1.0089,0.000618875,0.000618875,0.000618875
53,231.757,0.67989,0.2132,0.37069,0.68071,0.97293,0.7125,0.92508,0.91694,0.70513,0.7125,0.92508,0.91694,0.86015,0.82311,0.26401,0.0616,1.01157,1.00288,0.0006065,0.0006065,0.0006065
54,236.071,0.66616,0.19968,0.33801,0.65144,0.9538,0.86815,0.92876,0.96158,0.77407,0.86815,0.92876,0.96158,0.87396,0.76266,0.35068,0.04521,0.76633,0.95991,0.000594125,0.000594125,0.000594125
55,240.373,0.69587,0.21478,0.35171,0.66282,0.97461,0.89453,0.96379,0.9603,0.77788,0.89453,0.96379,0.9603,0.82458,0.7721,0.51128,0.03918,0.68122,0.96928,0.00058175,0.00058175,0.00058175
56,244.651,0.69707,0.18407,0.3526,0.67412,0.96417,0.86593,0.95,0.95622,0.771,0.86593,0.95,0.95622,0.85992,0.8036,0.39123,0.0481,0.67108,0.97463,0.000569375,0.000569375,0.000569375
57,248.903,0.71963,0.18518,0.37223,0.66328,0.97083,0.89927,0.88415,0.94467,0.75922,0.89927,0.88415,0.94467,0.88614,0.82808,0.27239,0.04981,0.72537,0.97825,0.000557,0.000557,0.000557
58,253.162,0.70426,0.14882,0.36553,0.6711,0.97407,0.96118,0.94303,0.96738,0.77637,0.96118,0.94303,0.96738,0.92685,0.79654,0.22314,0.05113,0.65043,0.95667,0.000544625,0.000544625,0.000544625
59,257.421,0.68777,0.18291,0.37147,0.66199,0.96981,0.9143,0.9353,0.95942,0.78506,0.9143,0.9353,0.95942,0.91242,0.77309,0.26482,0.05163,0.67769,0.95458,0.00053225,0.00053225,0.00053225
60,261.648,0.65847,0.18933,0.36454,0.66769,0.96991,0.93001,0.96115,0.96613,0.78198,0.93001,0.96115,0.96613,0.92076,0.74081,0.25376,0.06258,0.60771,0.9502,0.000519875,0.000519875,0.000519875
61,265.863,0.64923,0.18574,0.34969,0.62617,0.95449,0.93406,0.96566,0.96542,0.77679,0.93406,0.96566,0.96542,0.94232,0.80927,0.21172,0.09698,0.60493,0.98875,0.0005075,0.0005075,0.0005075
62,270.097,0.6545,0.16655,0.36464,0.60737,0.96337,0.95004,0.94727,0.96538,0.79519,0.95004,0.94727,0.96538,0.92576,0.76083,0.25006,0.13687,0.58358,0.95426,0.000495125,0.000495125,0.000495125
63,274.346,0.66822,0.17095,0.32779,0.60733,0.96334,0.91006,0.96987,0.96875,0.80629,0.91006,0.96987,0.96875,0.92835,0.74887,0.21672,0.10061,0.57251,0.95216,0.00048275,0.00048275,0.00048275
64,278.593,0.63544,0.16356,0.3357,0.58683,0.94743,0.92926,0.91414,0.9594,0.79515,0.92926,0.91414,0.9594,0.94183,0.77903,0.15827,0.06875,0.61327,0.96406,0.000470375,0.000470375,0.000470375
65,283.013,0.63002,0.16163,0.35191,0.58657,0.95891,0.90259,0.94939,0.96524,0.7818,0.90259,0.94939,0.96524,0.94711,0.7779,0.17248,0.0576,0.62887,0.97373,0.000458,0.000458,0.000458
66,287.45,0.62696,0.14873,0.34136,0.617,0.95444,0.87994,0.88034,0.94713,0.77104,0.87994,0.88034,0.94713,0.92419,0.78427,0.20751,0.06182,0.66339,0.96208,0.000445625,0.000445625,0.000445625
67,291.76,0.60898,0.1589,0.32794,0.56915,0.94235,0.79032,0.85418,0.87249,0.7221,0.79032,0.85418,0.87249,0.84857,0.77468,0.20681,0.07103,0.81938,0.95748,0.00043325,0.00043325,0.00043325
68,295.999,0.66081,0.13995,0.33214,0.60165,0.96777,0.69549,0.84998,0.83764,0.67763,0.69549,0.84998,0.83764,0.80709,0.79088,0.19516,0.09439,0.96291,0.96948,0.000420875,0.000420875,0.000420875
69,300.232,0.63189,0.13287,0.28775,0.56715,0.9254,0.70566,0.87329,0.841,0.68078,0.70566,0.87329,0.841,0.82958,0.76758,0.13173,0.06645,0.92133,0.96343,0.0004085,0.0004085,0.0004085
70,304.51,0.63114,0.14542,0.35373,0.56757,0.96162,0.7943,0.90776,0.8977,0.73442,0.7943,0.90776,0.8977,0.89034,0.74171,0.124,0.04628,0.73036,0.94666,0.000396125,0.000396125,0.000396125
71,308.819,0.62008,0.1542,0.3493,0.56089,0.94172,0.90129,0.93528,0.93458,0.75816,0.90129,0.93528,0.93458,0.93153,0.73172,0.11709,0.04467,0.59725,0.95019,0.00038375,0.00038375,0.00038375
72,313.082,0.60302,0.14764,0.32142,0.52731,0.92856,0.84379,0.94658,0.93818,0.78301,0.84379,0.94658,0.93818,0.9348,0.7283,0.1202,0.04828,0.58184,0.9454,0.000371375,0.000371375,0.000371375
73,317.327,0.57769,0.15458,0.31923,0.53414,0.92684,0.88174,0.89644,0.9232,0.7683,0.88174,0.89644,0.9232,0.9177,0.7415,0.11946,0.04728,0.59253,0.94312,0.000359,0.000359,0.000359
74,321.59,0.55276,0.13291,0.32492,0.52542,0.92548,0.91131,0.9286,0.93812,0.78515,0.91131,0.9286,0.93812,0.93076,0.7169,0.10737,0.05056,0.55563,0.92756,0.000346625,0.000346625,0.000346625
75,325.835,0.54534,0.15849,0.30303,0.52531,0.93515,0.93324,0.93802,0.95616,0.79377,0.93324,0.93802,0.95616,0.94197,0.73201,0.11136,0.06392,0.49981,0.93662,0.00033425,0.00033425,0.00033425
76,330.105,0.56956,0.1545,0.31197,0.5204,0.91285,0.95413,0.96741,0.98548,0.80278,0.95413,0.96741,0.98548,0.97285,0.77293,0.11167,0.06699,0.45487,0.96048,0.000321875,0.000321875,0.000321875
77,334.409,0.583,0.13201,0.31522,0.55622,0.94198,0.96582,0.96919,0.98923,0.81428,0.96582,0.96919,0.98923,0.97345,0.76147,0.11156,0.06166,0.45449,0.95749,0.0003095,0.0003095,0.0003095
